key,policy,pid,scan,scan_ns,stable_members,old_raw,new_raw,abs_delta_d,abs_delta_y,abs_delta_v
00000243--a4d9c0a5dd--0,P0,1000080,93,166802937368,1,81,83,2.6191253662109375,0.875,0.25
00000243--a4d9c0a5dd--0,P0,1000090,109,168402954697,1,100,91,2.0486907958984375,0.21875,0.25
00000243--a4d9c0a5dd--0,P0,1000095,112,168705200338,1,96,105,1.7633895874023438,0.28125,0.25
00000243--a4d9c0a5dd--0,P0,1000100,119,169403459478,1,101,103,2.8844528198242188,0.125,0.0
00000243--a4d9c0a5dd--0,P0,1000094,121,169602823762,1,99,95,0.7481536865234375,0.53125,0.0
00000243--a4d9c0a5dd--0,P0,1000094,122,169703097234,1,95,99,1.4969329833984375,0.625,0.25
00000243--a4d9c0a5dd--0,P0,1000090,138,171293627913,1,91,134,1.3752288818359375,0.28125,0.25
00000243--a4d9c0a5dd--0,P0,1000130,162,173692851228,1,144,129,2.0002212524414062,0.53125,0.0
00000243--a4d9c0a5dd--0,P0,1000427,543,211813187350,1,399,403,1.7515144348144531,0.375,0.25
00000243--a4d9c0a5dd--0,P0,1000450,556,213113626980,1,397,421,2.0004730224609375,0.125,0.0
00000243--a4d9c0a5dd--0,P0,1000459,562,213712909298,1,430,440,2.0029640197753906,0.1875,0.0
00000243--a4d9c0a5dd--0,P0,1000483,601,217613019321,1,453,464,1.0032024383544922,0.03125,0.25
00000243--a4d9c0a5dd--0,P0,1000475,602,217713343550,1,445,456,1.2379837036132812,0.0625,0.0
00000243--a4d9c0a5dd--0,P0,1000475,619,219422563171,1,456,465,1.4213218688964844,0.21875,0.0
00000245--2c15eb5d45--12,P0,1000012,24,778329007398,1,13,16,3.5232162475585938,0.09375,0.25
00000245--2c15eb5d45--12,P0,1000012,25,778428828018,1,16,13,2.9819107055664062,0.09375,0.0
00000245--2c15eb5d45--12,P0,1000095,171,793018904861,1,95,99,2.4912338256835938,0.0,0.0
00000245--2c15eb5d45--12,P0,1000095,173,793219394190,1,99,95,2.994150161743164,0.0625,0.0
00000245--2c15eb5d45--12,P0,1000095,179,793819495161,1,95,99,3.0068893432617188,0.03125,0.0
00000245--2c15eb5d45--12,P0,1000095,181,794019507657,1,99,95,3.2456655502319336,0.03125,0.25
00000245--2c15eb5d45--12,P0,1000095,182,794118913098,1,95,99,3.0112714767456055,0.03125,0.0
00000245--2c15eb5d45--12,P0,1000169,296,805518995474,1,167,171,3.2493019104003906,0.4375,0.0
00000245--2c15eb5d45--12,P0,1000206,329,808818970141,1,202,204,1.4818572998046875,0.03125,0.0
00000245--2c15eb5d45--12,P0,1000206,330,808919099003,1,204,202,2.017822265625,0.09375,0.25
00000245--2c15eb5d45--12,P0,1000206,331,809019225522,1,202,204,2.4908065795898438,0.1875,0.25
00000245--2c15eb5d45--12,P0,1000219,356,811518819624,1,235,213,1.964792251586914,0.0625,0.25
00000245--2c15eb5d45--12,P0,1000250,366,812519317577,1,244,252,1.9859085083007812,0.125,0.0
00000245--2c15eb5d45--12,P0,1000250,367,812619914731,1,252,244,1.9984130859375,0.0625,0.25
00000245--2c15eb5d45--12,P0,1000250,368,812720271801,1,244,252,2.7416915893554688,0.1875,0.25
00000245--2c15eb5d45--12,P0,1000255,368,812720271801,1,249,253,2.9971790313720703,0.09375,0.0
00000245--2c15eb5d45--12,P0,1000257,375,813419437417,1,251,258,2.2415313720703125,0.53125,0.0
00000245--2c15eb5d45--12,P0,1000257,377,813618999575,1,258,251,3.4893646240234375,0.46875,0.0
00000245--2c15eb5d45--12,P0,1000297,427,818619445662,1,290,296,1.9895210266113281,0.09375,0.0
00000245--2c15eb5d45--12,P0,1000332,452,821119931236,1,323,325,2.759328842163086,0.09375,0.25
00000245--2c15eb5d45--12,P0,1000327,453,821219609509,1,318,328,1.762420654296875,0.09375,0.0
00000245--2c15eb5d45--12,P0,1000332,453,821219609509,1,325,323,1.7568340301513672,0.03125,0.25
00000245--2c15eb5d45--12,P0,1000332,456,821518867435,1,323,325,3.2265491485595703,0.03125,0.25
00000245--2c15eb5d45--19,P0,1000016,5,1196398856545,1,17,21,2.499359130859375,0.25,0.0
00000245--2c15eb5d45--19,P0,1000011,40,1199899072038,1,31,55,1.7744865417480469,0.0,0.25
00000245--2c15eb5d45--19,P0,1000011,48,1200699058261,1,55,31,1.0193443298339844,0.0,0.0
00000245--2c15eb5d45--19,P0,1000011,49,1200799336176,1,31,55,1.7766437530517578,0.09375,0.25
00000245--2c15eb5d45--19,P0,1000116,64,1202299217177,1,114,126,1.0417861938476562,0.65625,0.0
00000245--2c15eb5d45--19,P0,1000116,65,1202398723397,1,126,114,1.5199737548828125,0.46875,0.0
00000245--2c15eb5d45--19,P0,1000116,66,1202498845679,1,114,126,1.248291015625,0.65625,0.0
00000245--2c15eb5d45--19,P0,1000083,79,1203800264102,1,151,105,1.7397003173828125,0.40625,0.0
00000245--2c15eb5d45--19,P0,1000083,81,1203999325401,1,105,151,0.4949378967285156,0.25,0.0
00000245--2c15eb5d45--19,P0,1000083,82,1204099362110,1,151,105,2.2458648681640625,0.46875,0.0
00000245--2c15eb5d45--19,P0,1000150,82,1204099362110,1,147,148,0.7459335327148438,0.34375,0.0
00000245--2c15eb5d45--19,P0,1000150,84,1204299057441,1,148,147,1.5253753662109375,0.25,0.0
00000245--2c15eb5d45--19,P0,1000150,85,1204398878104,1,147,148,0.9905548095703125,0.1875,0.0
00000245--2c15eb5d45--19,P0,1000150,87,1204599572535,1,148,147,1.4789886474609375,0.28125,0.0
00000245--2c15eb5d45--19,P0,1000150,88,1204699045323,1,147,148,1.01959228515625,0.09375,0.0
00000245--2c15eb5d45--19,P0,1000150,91,1204999470622,1,148,147,1.97900390625,0.34375,0.0
00000245--2c15eb5d45--19,P0,1000150,93,1205200155262,1,147,148,0.9856452941894531,0.25,0.0
00000245--2c15eb5d45--19,P0,1000150,95,1205399202980,1,148,147,1.2900428771972656,0.34375,0.0
00000245--2c15eb5d45--19,P0,1000083,98,1205698644253,1,105,82,2.4969940185546875,0.53125,0.0
00000245--2c15eb5d45--19,P0,1000238,141,1210000290326,1,245,229,0.237152099609375,0.5625,0.0
00000245--2c15eb5d45--19,P0,1000209,145,1210398953079,1,202,242,0.7242507934570312,0.03125,0.0
00000245--2c15eb5d45--19,P0,1000209,148,1210698740910,1,242,202,1.0161399841308594,0.40625,0.0
00000245--2c15eb5d45--19,P0,1000247,148,1210698740910,1,238,264,2.2661361694335938,0.0,0.0
00000245--2c15eb5d45--19,P0,1000209,149,1210799284821,1,202,242,0.9983253479003906,0.3125,0.0
00000245--2c15eb5d45--19,P0,1000209,151,1210998787966,1,242,202,1.4952430725097656,0.0625,0.0
00000245--2c15eb5d45--19,P0,1000326,185,1214399196510,1,315,319,1.7448272705078125,0.125,0.0
00000245--2c15eb5d45--19,P0,1000333,205,1216399331361,1,321,326,1.76544189453125,0.59375,0.25
00000245--2c15eb5d45--19,P0,1000326,212,1217098650752,1,319,334,2.2518539428710938,1.34375,0.0
00000245--2c15eb5d45--19,P0,1000445,361,1231999035765,1,430,433,2.9861907958984375,0.15625,0.0
00000245--2c15eb5d45--19,P0,1000451,361,1231999035765,1,436,440,2.9802913665771484,0.09375,0.25
00000245--2c15eb5d45--19,P0,1000439,365,1232398949970,1,425,438,2.011688232421875,0.96875,0.0
00000245--2c15eb5d45--19,P0,1000445,369,1232799521074,1,433,441,2.980854034423828,0.4375,0.0
00000245--2c15eb5d45--19,P0,1000421,375,1233399670154,1,407,436,2.9734606742858887,0.03125,0.0
00000245--2c15eb5d45--19,P0,1000468,375,1233399670154,1,451,421,2.7234601974487305,0.09375,0.0
00000245--2c15eb5d45--19,P0,1000467,386,1234498968168,1,450,447,2.779481887817383,0.15625,0.0
00000245--2c15eb5d45--19,P0,1000479,386,1234498968168,1,460,461,2.2845993041992188,0.28125,0.25
00000245--2c15eb5d45--19,P0,1000499,401,1235998893328,1,480,485,1.7430076599121094,0.0625,0.0
00000245--2c15eb5d45--19,P0,1000499,408,1236699253472,1,485,480,2.7592735290527344,0.3125,0.0
00000245--2c15eb5d45--19,P0,1000479,434,1239298770848,1,461,460,1.2619438171386719,0.1875,0.0
00000245--2c15eb5d45--19,P0,1000479,435,1239399635075,1,460,461,1.7325019836425781,0.03125,0.0
00000245--2c15eb5d45--19,P0,1000565,464,1242298839504,1,555,559,1.5124893188476562,0.25,0.25
00000245--2c15eb5d45--19,P0,1000599,464,1242298839504,1,575,583,0.7624893188476562,0.15625,0.25
00000245--2c15eb5d45--19,P0,1000599,465,1242399306892,1,583,575,1.7249526977539062,0.0625,0.0
00000245--2c15eb5d45--19,P0,1000568,476,1243500507046,1,537,538,1.9796371459960938,0.03125,0.25
00000245--2c15eb5d45--19,P0,1000609,476,1243500507046,1,585,593,2.4796371459960938,0.65625,0.25
00000245--2c15eb5d45--19,P0,1000619,476,1243500507046,1,536,576,2.485240936279297,0.1875,0.0
00000245--2c15eb5d45--19,P0,1000643,508,1246699869989,1,629,612,0.9888916015625,0.03125,0.0
00000245--2c15eb5d45--19,P0,1000643,509,1246800060652,1,612,629,1.2408294677734375,0.03125,0.25
00000245--2c15eb5d45--19,P0,1000643,510,1246900106731,1,629,612,1.0080795288085938,0.125,0.25
00000245--2c15eb5d45--19,P0,1000643,513,1247199126998,1,612,629,1.2164077758789062,0.03125,0.0
00000245--2c15eb5d45--19,P0,1000643,542,1250098544923,1,629,612,0.7841634750366211,0.3125,0.0
00000245--2c15eb5d45--19,P0,1000752,548,1250699195448,1,718,721,1.7461929321289062,0.53125,0.25
00000245--2c15eb5d45--19,P0,1000772,563,1252198874078,1,737,753,1.9957695007324219,0.90625,0.0
00000245--2c15eb5d45--19,P0,1000784,568,1252699529601,1,765,749,0.5170669555664062,0.15625,0.0
00000245--2c15eb5d45--19,P0,1000787,568,1252699529601,1,752,755,0.26837921142578125,0.75,0.0
00000245--2c15eb5d45--19,P0,1000784,569,1252799222832,1,749,765,0.9996089935302734,0.40625,0.0
00000245--2c15eb5d45--19,P0,1000787,569,1252799222832,1,755,752,1.4995803833007812,0.4375,0.0
00000245--2c15eb5d45--19,P0,1000735,572,1253099531639,1,701,758,2.8797483444213867,0.34375,0.0
00000245--2c15eb5d45--19,P0,1000784,572,1253099531639,1,765,749,0.8797492980957031,0.1875,0.0
00000245--2c15eb5d45--19,P0,1000787,572,1253099531639,1,752,755,0.3893623352050781,0.75,0.0
00000245--2c15eb5d45--19,P0,1000784,573,1253199838671,1,749,765,1.2296619415283203,0.25,0.0
00000245--2c15eb5d45--19,P0,1000784,576,1253498763377,1,765,749,1.2505292892456055,0.375,0.25
00000245--2c15eb5d45--19,P0,1000809,581,1253999611952,1,774,777,1.488311767578125,0.8125,0.5
00000245--2c15eb5d45--19,P0,1000784,582,1254098693784,1,749,765,1.5311288833618164,0.1875,0.75
00000245--2c15eb5d45--19,P0,1000809,584,1254298983954,1,777,786,1.7653923034667969,0.25,0.0
00000245--2c15eb5d45--19,P0,1000803,586,1254499192000,1,768,737,2.0963339805603027,0.375,0.25
00000245--2c15eb5d45--19,P0,1000809,586,1254499192000,1,786,777,0.16637802124023438,1.21875,0.25
00000245--2c15eb5d45--19,P0,1000827,586,1254499192000,1,791,801,1.3547697067260742,0.21875,0.0
00000245--2c15eb5d45--19,P0,1000809,588,1254700779678,1,777,786,1.964508056640625,0.125,0.25
00000245--2c15eb5d45--19,P0,1000840,592,1255099472964,1,803,811,2.502073287963867,0.65625,0.0
